ID,Y
ID856,2.86211395264
ID857,2.79861187935
ID858,2.87458062172
ID859,2.84718203545
ID860,2.89288830757
ID861,2.87636303902
ID862,2.83608627319
ID863,2.85755109787
ID864,2.86316919327
ID865,2.90569829941
ID867,2.84010529518
ID869,2.85120272636
ID870,2.77721190453
ID871,2.91473531723
ID872,2.83103513718
ID873,2.810308218
ID874,2.82753014565
ID875,2.80842614174
ID876,2.7662498951
ID877,2.78959059715
ID878,2.87708497047
ID879,2.87790393829
ID880,2.87351059914
ID881,2.84442996979
ID882,2.80862140656
ID883,2.80581831932
ID884,2.8321313858
ID885,2.80686378479
ID886,2.7596590519
ID887,2.80879616737
ID888,2.78031492233
ID889,2.79288673401
ID890,2.79728412628
ID891,2.79663681984
ID892,2.77964472771
ID893,2.84297275543
ID894,2.86839342117
ID895,2.83891272545
ID896,2.85849094391
ID897,2.91222858429
ID900,2.84262561798
ID901,2.81407165527
ID902,2.78839921951
ID903,2.94533228874
ID904,2.90342521667
ID905,2.85887598991
ID906,2.92385172844
ID907,2.80249595642
ID908,2.778683424
ID909,2.80288624763
ID910,2.79692363739
ID911,2.80413198471
ID912,2.90485191345
ID915,2.82638192177
ID916,2.86191034317
ID917,2.82397627831
ID918,2.898250103
ID919,2.91800165176
ID920,2.85489153862
ID923,2.82457494736
ID924,2.85212755203
ID925,2.88595819473
ID926,2.88712310791
ID927,2.83401012421
ID928,2.80666041374
ID929,2.83642363548
ID930,2.85116481781
ID932,2.80352473259
ID934,2.88010668755
ID936,2.86396479607
ID938,2.84701371193
ID939,2.81487989426
ID940,2.82701516151
ID941,2.90664124489
ID942,2.83248901367
ID943,2.8014523983
ID944,2.85853433609
ID945,2.87890744209
ID946,2.90311479568
ID947,2.82576131821
ID948,2.83991360664
ID949,2.87242531776
ID950,2.84912276268
ID951,2.78841114044
ID952,2.87895345688
ID953,2.90016317368
ID954,2.80159568787
ID955,2.87985515594
ID956,2.86870622635
ID957,2.90858721733
ID958,2.79743623734
ID959,2.85446357727
ID960,2.82697057724
ID961,2.89386200905
ID962,2.8544254303
ID963,2.87938070297
ID964,2.91066145897
ID965,2.77273416519
ID966,2.83413648605
ID967,2.80983924866
ID968,2.88099884987
ID969,2.77361226082
ID970,2.83364534378
ID972,2.74269938469
ID973,2.84680700302
ID975,2.89491677284
ID977,2.84126520157
ID978,2.85514831543
ID979,2.80029296875
ID982,2.80737280846
ID984,2.86277222633
ID986,2.78573274612
ID988,2.81018638611
ID989,2.82074165344
ID990,2.85305643082
ID991,2.82118821144
ID992,2.83229875565
ID993,2.88595199585
ID994,2.86914753914
ID995,2.81882762909
ID997,2.83311223984
